"","entry.name","protein.description","peptides.rep1","peptides.rep2","psms.rep1","psms.rep2","phenodisco.input","phenodisco.output","curated.phenodisco.output","markers","svm.classification","svm.score","svm.top.quartile","final.assignment","first.evidence","curated.organelles","cytoskeletal.components","trafficking.proteins","protein.complexes","signalling.cascades","oct4.interactome","nanog.interactome","sox2.interactome","cell.surface.proteins","markers2015"
"Q9JHU4","DYHC1_MOUSE","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2 - [DYHC1_MOUSE]",175,166,322,273,"unknown","unknown","unknown","unknown","Peroxisome",0.303,"unknown","unknown","N","unknown","Dynein","unknown","Dynein","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9QXS1-3","PLEC_MOUSE","Isoform PLEC-1 of Plectin OS=Mus musculus GN=Plec - [PLEC_MOUSE]|Isoform PLEC-1A of Plectin OS=Mus musculus GN=Plec - [PLEC_MOUSE]",123,150,174,198,"unknown","unknown","unknown","unknown","60S Ribosome",0.223,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9ERU9","RBP2_MOUSE","E3 SUMO-protein ligase RanBP2 OS=Mus musculus GN=Ranbp2 PE=1 SV=2 - [RBP2_MOUSE]",101,90,181,129,"unknown","Phenotype 10","unknown","unknown","Nucleus - Chromatin",0.737,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","Prey","Prey","unknown","unknown"
"P26039","TLN1_MOUSE","Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2 - [TLN1_MOUSE]",101,94,167,146,"unknown","Phenotype 9","Actin cytoskeleton","Actin cytoskeleton","Actin cytoskeleton",1,"Actin cytoskeleton","Actin cytoskeleton","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Actin cytoskeleton"
"Q8BTM8","FLNA_MOUSE","Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5 - [FLNA_MOUSE]",95,88,228,201,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.218,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"A2ARV4","LRP2_MOUSE","Low-density lipoprotein receptor-related protein 2 OS=Mus musculus GN=Lrp2 PE=1 SV=1 - [LRP2_MOUSE]",85,97,119,150,"unknown","unknown","unknown","unknown","Lysosome",0.681,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q80X90","FLNB_MOUSE","Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3 - [FLNB_MOUSE]",81,80,156,148,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.142,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q68FD5","CLH1_MOUSE","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3 - [CLH1_MOUSE]",80,68,156,157,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.273,"unknown","unknown","N","Vesicles - Clathrin","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q07113","MPRI_MOUSE","Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1 - [MPRI_MOUSE]",75,75,152,142,"unknown","unknown","unknown","unknown","Endosome",0.322,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q99PL5","RRBP1_MOUSE","Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=2 SV=2 - [RRBP1_MOUSE]",74,75,152,185,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
